"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.135362328,
"SVN","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.003192281,
"SVN","QGDP","TOT","PC_CHGPP","Q","2013-Q4",1.979560136,
"SVN","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.103253972,
"SVN","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.800420029,
"SVN","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.599305101,
"SVN","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.1085621,
"SVN","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.580509609,
"SVN","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.597536491,
"SVN","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.548521547,
"SVN","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.063115949,
"SVN","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.943258553,
"SVN","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.429999355,
"SVN","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.991168449,
"SVN","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.774179707,
"SVN","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.953698747,
"SVN","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.127551672,
"SVN","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.8581694,
"SVN","QGDP","TOT","PC_CHGPP","Q","2017-Q4",2.05594035,
"SVN","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.391295525,
"SVN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",1.443480376,
"SVN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.158815483,
"SVN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.716483872,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.540426125,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.285398645,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.985026362,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.390840035,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.671270691,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.102033965,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.670232549,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-2.26100213,
"FIN","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.918417552,
"FIN","QGDP","TOT","PC_CHGPP","Q","2007-Q4",1.319947274,
"FIN","QGDP","TOT","PC_CHGPP","Q","2008-Q1",-0.122968349,
"FIN","QGDP","TOT","PC_CHGPP","Q","2008-Q2",-0.802954874,
"FIN","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.345367222,
"FIN","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-2.145738102,
"FIN","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-6.477614128,
